指数,年月,地域,カテゴリ,数値,単位
指数,1971年2月,全国,1201 牛肉（国産品）,20.1,
指数,1971年2月,全国,1211 豚肉（国産品）,34.1,
指数,1971年2月,全国,1221 鶏肉,49.6,
指数,1971年2月,全国,0015 加工肉,44,
指数,1971年2月,全国,1261 ソーセージ,41.1,
指数,1971年2月,全国,0016 乳卵類,46.8,
指数,1971年2月,全国,0017 牛乳・乳製品,40.7,
指数,1971年2月,全国,0018 牛乳,40.4,
指数,1971年2月,全国,0019 乳製品,42.8,
指数,1971年2月,全国,1311 粉ミルク,27.5,
指数,1971年2月,全国,1321 バター,35.3,
指数,1971年2月,全国,1331 チーズ（国産品）,37.2,
指数,1971年2月,全国,0020 卵,60.4,
指数,1971年2月,全国,1341 鶏卵,60.4,
指数,1971年2月,全国,0021 野菜・海藻,26.1,
指数,1971年2月,全国,0022 生鮮野菜,28.2,
指数,1971年2月,全国,1401 キャベツ,40.8,
指数,1971年2月,全国,1402 ほうれんそう,10.5,
指数,1971年2月,全国,1403 はくさい,23.1,
指数,1971年2月,全国,1405 ねぎ,13.9,
指数,1971年2月,全国,1406 レタス,52.5,
指数,1971年2月,全国,1411 さつまいも,17.8,
指数,1971年2月,全国,1412 じゃがいも,16,
指数,1971年2月,全国,1413 さといも,17,
指数,1971年2月,全国,1414 だいこん,24.1,
指数,1971年2月,全国,1415 にんじん,21,
指数,1971年2月,全国,1416 ごぼう,18.7,
指数,1971年2月,全国,1417 たまねぎ,55.5,
指数,1971年2月,全国,1419 れんこん,28.8,
指数,1971年2月,全国,1433 かぼちゃ,33,
指数,1971年2月,全国,1434 きゅうり,41.7,
指数,1971年2月,全国,1435 なす,46.4,
指数,1971年2月,全国,1436 トマト,49.7,
指数,1971年2月,全国,1437 ピーマン,20.3,
指数,1971年2月,全国,0023 乾物・加工品類,23.3,
指数,1971年2月,全国,0024 乾物・海藻,25.1,
指数,1971年2月,全国,1453 干ししいたけ,25.5,
指数,1971年2月,全国,1461 干しのり,44.4,
指数,1971年2月,全国,1462 わかめ,21.2,
指数,1971年2月,全国,1463 こんぶ,12.4,
指数,1971年2月,全国,0025 大豆加工品,28.4,
指数,1971年2月,全国,1471 豆腐,28.7,
指数,1971年2月,全国,1472 油揚げ,25.9,
指数,1971年2月,全国,1473 納豆,30,
指数,1971年2月,全国,0026 他の野菜・海藻加工品,18.4,
指数,1971年2月,全国,1481 こんにゃく,24.7,
指数,1971年2月,全国,1482 梅干し,16.7,
指数,1971年2月,全国,1483 だいこん漬,19.7,
指数,1971年2月,全国,1485 こんぶつくだ煮,13.1,
指数,1971年2月,全国,0027 果物,26.2,
指数,1971年2月,全国,0028 生鮮果物,25.4,
指数,1971年2月,全国,1502 りんご,24.6,
指数,1971年2月,全国,1511 みかん,20.2,
指数,1971年2月,全国,1581 バナナ,57.3,
指数,1971年2月,全国,0029 果物加工品,50.8,
指数,1971年2月,全国,0030 油脂・調味料,49.5,
指数,1971年2月,全国,0031 油脂,68.7,
指数,1971年2月,全国,1601 食用油,75.4,
指数,1971年2月,全国,1602 マーガリン,49,
指数,1971年2月,全国,0032 調味料,46.7,
指数,1971年2月,全国,1611 食塩,25.7,
指数,1971年2月,全国,1621 しょう油,46.6,
指数,1971年2月,全国,1631 みそ,41.4,
指数,1971年2月,全国,1632 砂糖,64.7,
指数,1971年2月,全国,1633 酢,49.5,
指数,1971年2月,全国,1641 ソース,54.1,
指数,1971年2月,全国,1642 ケチャップ,69,
指数,1971年2月,全国,1643 マヨネーズ,58.4,
指数,1971年2月,全国,1652 カレールウ,38,
指数,1971年2月,全国,1653 乾燥スープ,37.7,
指数,1971年2月,全国,0033 菓子類,27.8,
指数,1971年2月,全国,1701 ようかん,18.8,
指数,1971年2月,全国,1711 カステラ,28.6,
指数,1971年2月,全国,1713 シュークリーム,31.2,
指数,1971年2月,全国,1741 せんべい,38.4,
指数,1971年2月,全国,1721 ビスケット,26,
指数,1971年2月,全国,1732 キャンデー,26,
指数,1971年2月,全国,1761 チョコレート,53,
指数,1971年2月,全国,1782 アイスクリーム,34.9,
指数,1971年2月,全国,1772 落花生,39.5,
指数,1971年2月,全国,1781 チューインガム,37.6,
指数,1971年2月,全国,0034 調理食品,25.3,
指数,1971年2月,全国,0036 他の調理食品,24.9,
指数,1971年2月,全国,1801 うなぎかば焼き,18.1,
指数,1971年2月,全国,1811 サラダ,17.9,
指数,1971年2月,全国,1821 コロッケ,22.5,
指数,1971年2月,全国,0037 飲料,54.2,
指数,1971年2月,全国,0038 茶類,42.9,
指数,1971年2月,全国,1902 緑茶,30.3,
指数,1971年2月,全国,1911 紅茶,66.4,
指数,1971年2月,全国,0039 コーヒー・ココア,53.8,
指数,1971年2月,全国,1921 インスタントコーヒー,50.5,
指数,1971年2月,全国,0040 他の飲料,59.9,
指数,1971年2月,全国,1931 果汁入り飲料,73.7,
指数,1971年2月,全国,1951 炭酸飲料,71.9,
指数,1971年2月,全国,0041 酒類,45.6,
指数,1971年2月,全国,2003 清酒,48.2,
指数,1971年2月,全国,2011 焼酎,29.6,
指数,1971年2月,全国,2021 ビール,44.2,
指数,1971年2月,全国,2033 ウイスキー,66.8,
指数,1971年2月,全国,0042 外食,24.4,
指数,1971年2月,全国,0043 一般外食,24.3,
指数,1971年2月,全国,2101 うどん（外食）,14.9,
指数,1971年2月,全国,2102 中華そば（外食）,17.6,
指数,1971年2月,全国,2121 すし（外食）Ｂ,22.2,
指数,1971年2月,全国,2133 カレーライス（外食）,21.8,
指数,1971年2月,全国,2162 コーヒー（外食）Ａ,23.8,
指数,1971年2月,全国,2171 ビール（外食）,30.1,
指数,1971年2月,全国,0045 住居,27.7,
指数,1971年2月,全国,0046 家賃,30.1,
指数,1971年2月,全国,0047 民営家賃,34.4,
指数,1971年2月,全国,3000 民営家賃,34.4,
指数,1971年2月,全国,0048 公営・都市再生機構・公社家賃,21.2,
指数,1971年2月,全国,3016 公営家賃,22.4,
指数,1971年2月,全国,3017 都市再生機構・公社家賃,19.9,
指数,1971年2月,全国,0050 持家の帰属家賃,29.4,
指数,1971年2月,全国,3030 持家の帰属家賃,29.4,
指数,1971年2月,全国,0051 設備修繕・維持,19.5,
指数,1971年2月,全国,0052 設備材料,32.1,
指数,1971年2月,全国,3121 修繕材料,16.8,
指数,1971年2月,全国,0053 工事その他のサービス,17.1,
指数,1971年2月,全国,3151 畳替え代,19.2,
指数,1971年2月,全国,3176 水道工事費,6.8,
指数,1971年2月,全国,3175 塀工事費,14.5,
指数,1971年2月,全国,3171 ふすま張替費,14.8,
指数,1971年2月,全国,3172 大工手間代,16.1,
指数,1971年2月,全国,3180 火災・地震保険料,41.1,
指数,1971年2月,全国,0054 光熱・水道,31.2,
指数,1971年2月,全国,0056 電気代,54.9,
指数,1971年2月,全国,3500 電気代,54.9,
指数,1971年2月,全国,0057 ガス代,26.4,
指数,1971年2月,全国,3600 都市ガス代,32.5,
指数,1971年2月,全国,3612 プロパンガス,20,
指数,1971年2月,全国,0058 他の光熱,19.7,
指数,1971年2月,全国,3701 灯油,21.1,
指数,1971年2月,全国,3810 水道料,20,
指数,1971年2月,全国,0060 家具・家事用品,74.6,
指数,1971年2月,全国,0061 家庭用耐久財,211.5,
指数,1971年2月,全国,0062 家事用耐久財,600.7,
指数,1971年2月,全国,4002 電気炊飯器,229.6,
指数,1971年2月,全国,4011 ガステーブル,102.4,
指数,1971年2月,全国,4021 電気冷蔵庫,2100.2,
指数,1971年2月,全国,4032 電気掃除機,667.2,
指数,1971年2月,全国,0063 冷暖房用器具,189.9,
指数,1971年2月,全国,4072 温風ヒーター,88,
指数,1971年2月,全国,0064 一般家具,33.5,
指数,1971年2月,全国,0066 室内装備品,76.6,
指数,1971年2月,全国,4121 カーペット,119,
指数,1971年2月,全国,4141 カーテン,37.7,
指数,1971年2月,全国,0070 寝具類,60.3,
指数,1971年2月,全国,4211 布団,90.4,
指数,1971年2月,全国,4251 敷布,34.7,
指数,1971年2月,全国,0073 家事雑貨,29.8,
指数,1971年2月,全国,0074 食器類,20.6,
指数,1971年2月,全国,4301 茶わん,16.1,
指数,1971年2月,全国,4302 皿,23.6,
指数,1971年2月,全国,0075 台所用品,32.2,
指数,1971年2月,全国,4331 鍋,27.7,
指数,1971年2月,全国,4342 スポンジたわし,22.2,
指数,1971年2月,全国,0076 他の家事雑貨,38,
指数,1971年2月,全国,4352 電球・ランプ,63.8,
指数,1971年2月,全国,4361 タオル,30.4,
指数,1971年2月,全国,0077 家事用消耗品,68.8,
指数,1971年2月,全国,0078 ティシュ・トイレットペーパー,57.7,
指数,1971年2月,全国,0079 洗剤,93.7,
指数,1971年2月,全国,4431 台所用洗剤,100.1,
指数,1971年2月,全国,4441 洗濯用洗剤,103.9,
指数,1971年2月,全国,0080 他の家事用消耗品,59.6,
指数,1971年2月,全国,4451 殺虫剤,60.9,
指数,1971年2月,全国,0081 家事サービス,18.8,
指数,1971年2月,全国,0174 家事代行料,17.7,
指数,1971年2月,全国,4501 家事代行料,17.7,
指数,1971年2月,全国,0175 清掃代,18.3,
指数,1971年2月,全国,0082 被服及び履物,28.7,
指数,1971年2月,全国,0083 衣料,26,
指数,1971年2月,全国,0084 和服,23.7,
指数,1971年2月,全国,5011 婦人用着物,21.4,
指数,1971年2月,全国,5041 婦人用帯,21.3,
指数,1971年2月,全国,0085 洋服,27.1,
指数,1971年2月,全国,0086 男子用洋服,30.6,
指数,1971年2月,全国,5102 背広服（秋冬物，中級品）,33.5,
指数,1971年2月,全国,5121 男子用ズボン（秋冬物）,27.7,
指数,1971年2月,全国,5131 男子用コート,30.1,
指数,1971年2月,全国,5141 男子用学校制服,23.9,
指数,1971年2月,全国,0087 婦人用洋服,16.1,
指数,1971年2月,全国,5162 婦人用スーツ（秋冬物，中級品）,15.8,
指数,1971年2月,全国,5172 スカート（秋冬物）,19.1,
指数,1971年2月,全国,5182 婦人用コート,16.6,
指数,1971年2月,全国,0088 子供用洋服,76.7,
指数,1971年2月,全国,0089 シャツ・セーター・下着類,32.4,
指数,1971年2月,全国,0090 シャツ・セーター類,30.9,
指数,1971年2月,全国,0091 男子用シャツ・セーター類,34.5,
指数,1971年2月,全国,5202 ワイシャツ,44.3,
指数,1971年2月,全国,0092 婦人用シャツ・セーター類,26.8,
指数,1971年2月,全国,5241 婦人用セーター（長袖）,26.1,
指数,1971年2月,全国,0094 下着類,32.5,
指数,1971年2月,全国,0095 男子用下着類,40.9,
指数,1971年2月,全国,5301 男子用シャツ（半袖）,40.3,
指数,1971年2月,全国,5311 男子用パンツ,38.1,
指数,1971年2月,全国,0096 婦人用下着類,25.5,
指数,1971年2月,全国,5351 婦人用ショーツ,38.1,
指数,1971年2月,全国,5361 ランジェリー,22.6,
指数,1971年2月,全国,0097 子供用下着類,37.6,
指数,1971年2月,全国,0098 履物類,28,
指数,1971年2月,全国,5601 男子靴,30.6,
指数,1971年2月,全国,5611 婦人靴,27.3,
指数,1971年2月,全国,5641 子供靴,23.9,
指数,1971年2月,全国,5631 運動靴,31.8,
指数,1971年2月,全国,5671 サンダル,26.2,
指数,1971年2月,全国,0103 他の被服,39.6,
指数,1971年2月,全国,5501 帽子,22.3,
指数,1971年2月,全国,5511 ネクタイ,46.2,
指数,1971年2月,全国,5521 男子用靴下,41.4,
指数,1971年2月,全国,5531 婦人用ストッキング,115.3,
指数,1971年2月,全国,5541 婦人用ソックス,47.9,
指数,1971年2月,全国,0106 被服関連サービス,25.1,
指数,1971年2月,全国,5711 クリーニング代Ａ,21.8,
指数,1971年2月,全国,5712 クリーニング代Ｂ,31.6,
指数,1971年2月,全国,5721 履物修理代,13.9,
指数,1971年2月,全国,0107 保健医療,38.1,
指数,1971年2月,全国,0108 医薬品・健康保持用摂取品,49.7,
指数,1971年2月,全国,6001 総合かぜ薬,33.7,
指数,1971年2月,全国,6021 ビタミン剤Ａ,61.7,
指数,1971年2月,全国,6051 皮膚病薬,36.4,
指数,1971年2月,全国,6061 はり薬,38.5,
指数,1971年2月,全国,0109 保健医療用品・器具,54.1,
指数,1971年2月,全国,6101 生理用ナプキン,63.9,
指数,1971年2月,全国,0110 保健医療サービス,27.1,
指数,1971年2月,全国,6200 診療代,32.7,
指数,1971年2月,全国,0111 交通・通信,40.6,
指数,1971年2月,全国,0112 交通,20.2,
指数,1971年2月,全国,0179 鉄道運賃（ＪＲ）,25.1,
指数,1971年2月,全国,0180 鉄道運賃（ＪＲ以外）,21.3,
指数,1971年2月,全国,7050 一般路線バス代,13.4,
指数,1971年2月,全国,7060 タクシー代,17.1,
指数,1971年2月,全国,7070 航空運賃,45.1,
指数,1971年2月,全国,0113 自動車等関係費,47.1,
指数,1971年2月,全国,0114 自動車,61.1,
指数,1971年2月,全国,0115 自転車,56.4,
指数,1971年2月,全国,7201 自転車Ａ,54.4,
指数,1971年2月,全国,0116 自動車等維持,39.2,
指数,1971年2月,全国,7301 ガソリン,38.3,
指数,1971年2月,全国,7311 自動車タイヤ,47.1,
指数,1971年2月,全国,7331 自動車整備費（定期点検）,43.4,
指数,1971年2月,全国,7335 自動車整備費（パンク修理）,16.2,
指数,1971年2月,全国,7341 自動車オイル交換料,33.4,
指数,1971年2月,全国,7351 自動車免許手数料,19.7,
指数,1971年2月,全国,7370 自動車保険料（自賠責）,132.7,
指数,1971年2月,全国,0117 通信,87.3,
指数,1971年2月,全国,7410 通信料（固定電話）,89.1,
指数,1971年2月,全国,0118 教育,15.6,
指数,1971年2月,全国,0119 授業料等,14.2,
指数,1971年2月,全国,8001 ＰＴＡ会費（小学校）,22.3,
指数,1971年2月,全国,8002 ＰＴＡ会費（中学校）,26.9,
指数,1971年2月,全国,8010 中学校授業料（私立）,11.5,
指数,1971年2月,全国,8020 高等学校授業料（公立）,28.7,
指数,1971年2月,全国,8030 高等学校授業料（私立）,14.3,
指数,1971年2月,全国,8040 大学授業料（国立）,2.3,
指数,1971年2月,全国,8060 大学授業料（私立）,10.5,
指数,1971年2月,全国,0120 教科書・学習参考教材,30,
指数,1971年2月,全国,8100 学習参考教材,28.5,
指数,1971年2月,全国,0122 教養娯楽,39.7,
指数,1971年2月,全国,0123 教養娯楽用耐久財,1992.9,
指数,1971年2月,全国,9043 カメラ,3318,
指数,1971年2月,全国,9051 ピアノ,37.3,
指数,1971年2月,全国,0128 教養娯楽用品,38.3,
指数,1971年2月,全国,0129 文房具,31,
指数,1971年2月,全国,9111 ボールペン,59.6,
指数,1971年2月,全国,9121 ノートブック,24.3,
指数,1971年2月,全国,0130 運動用具類,39.5,
指数,1971年2月,全国,9141 グローブ,17.6,
指数,1971年2月,全国,9145 トレーニングパンツ,53.2,
指数,1971年2月,全国,0131 玩具,70,
指数,1971年2月,全国,9151 人形,56.6,
指数,1971年2月,全国,9152 玩具自動車,38.4,
指数,1971年2月,全国,0132 切り花,21,
指数,1971年2月,全国,9181 切り花（カーネーション）,20.8,
指数,1971年2月,全国,9182 切り花（きく）,22.3,
指数,1971年2月,全国,0133 他の教養娯楽用品,58.4,
指数,1971年2月,全国,0134 書籍・他の印刷物,19.2,
指数,1971年2月,全国,0135 新聞代,17.5,
指数,1971年2月,全国,0136 雑誌,25.7,
指数,1971年2月,全国,9230 週刊誌,20.2,
指数,1971年2月,全国,0137 書籍,19.7,
指数,1971年2月,全国,9261 単行本Ａ,17,
指数,1971年2月,全国,0138 教養娯楽サービス,24.8,
指数,1971年2月,全国,0139 宿泊料,28.5,
指数,1971年2月,全国,9300 宿泊料,28.5,
指数,1971年2月,全国,0140 月謝類,14.7,
指数,1971年2月,全国,9320 自動車教習料,16.7,
指数,1971年2月,全国,0141 他の教養娯楽サービス,43.2,
指数,1971年2月,全国,0142 放送受信料,34.8,
指数,1971年2月,全国,9330 放送受信料（ＮＨＫ）,35.6,
指数,1971年2月,全国,0143 入場・観覧・ゲーム代,35.1,
指数,1971年2月,全国,9341 映画観覧料,27.6,
指数,1971年2月,全国,9350 プロ野球観覧料,12.1,
指数,1971年2月,全国,9361 ボウリングゲーム代,42.8,
指数,1971年2月,全国,0144 他の娯楽サービス,114.7,
指数,1971年2月,全国,0145 諸雑費,29,
指数,1971年2月,全国,0146 理美容サービス,16.3,
指数,1971年2月,全国,9511 理髪料,15.9,
指数,1971年2月,全国,9521 パーマネント代,19.7,
指数,1971年2月,全国,0147 理美容用品,69.5,
指数,1971年2月,全国,0148 理容器具,130.4,
指数,1971年2月,全国,9611 歯ブラシ,87.2,
指数,1971年2月,全国,0149 石けん類,70.4,
指数,1971年2月,全国,9621 手洗い用石けん,54.1,
指数,1971年2月,全国,9622 シャンプー,66.2,
指数,1971年2月,全国,9623 歯磨き,102.8,
指数,1971年2月,全国,0150 化粧品,67.1,
指数,1971年2月,全国,9631 整髪料,76.2,
指数,1971年2月,全国,9641 養毛剤,66.8,
指数,1971年2月,全国,9650 化粧クリームＡ,85.5,
指数,1971年2月,全国,9661 化粧水Ｂ,51.7,
指数,1971年2月,全国,9670 ファンデーションＡ,50,
指数,1971年2月,全国,9680 口紅Ａ,56.6,
指数,1971年2月,全国,0151 身の回り用品,24.5,
指数,1971年2月,全国,0152 かばん類,20.7,
指数,1971年2月,全国,9721 バッグＡ,37.8,
指数,1971年2月,全国,9711 通学用かばん,13.7,
指数,1971年2月,全国,9731 旅行用かばん,55.9,
指数,1971年2月,全国,0153 腕時計・指輪,27.3,
指数,1971年2月,全国,9741 指輪,11,
指数,1971年2月,全国,9751 腕時計,99.3,
指数,1971年2月,全国,0154 他の身の回り用品,49.2,
指数,1971年2月,全国,9701 傘,71.3,
指数,1971年2月,全国,9761 ハンカチーフ,27.1,
指数,1971年2月,全国,0155 たばこ,20.2,
指数,1971年2月,全国,9799 たばこ（国産品）,19.7,
指数,1971年2月,全国,0156 他の諸雑費,11.8,
指数,1971年2月,全国,9901 行政証明書手数料,14.1,
指数,1971年2月,全国,0157 生鮮食品,26.3,
指数,1971年2月,全国,0158 生鮮魚介（再掲）,25.3,
指数,1971年2月,全国,0159 生鮮野菜（再掲）,28.2,
指数,1971年2月,全国,0160 生鮮果物（再掲）,25.4,
指数,1971年2月,全国,0161 生鮮食品を除く総合,32.4,
指数,1971年2月,全国,0172 生鮮食品を除く食料,31.1,
指数,1971年2月,全国,0163 持家の帰属家賃を除く総合,32.4,
指数,1971年2月,全国,0164 持家の帰属家賃を除く住居,25.1,
指数,1971年2月,全国,0165 持家の帰属家賃を除く家賃,32.3,
指数,1971年2月,全国,0166 持家の帰属家賃及び生鮮食品を除く総合,32.8,
指数,1971年2月,全国,0167 エネルギー,36.4,
指数,1971年2月,全国,0178 生鮮食品及びエネルギーを除く総合,32.2,
指数,1971年2月,全国,0168 食料（酒類を除く）及びエネルギーを除く総合,32.8,
指数,1971年2月,全国,0201 総合,32.2,
指数,1971年2月,全国,0202 財,38.1,
指数,1971年2月,全国,0241 生鮮食品を除く財,39.7,
指数,1971年2月,全国,0203 農水畜産物,29.9,
指数,1971年2月,全国,0204 生鮮商品,28.7,
指数,1971年2月,全国,0205 他の農水畜産物,41.2,
指数,1971年2月,全国,0206 米類,42,
指数,1971年2月,全国,0207 工業製品,41.8,
指数,1971年2月,全国,0208 食料工業製品,32.3,
指数,1971年2月,全国,0211 繊維製品,31.6,
指数,1971年2月,全国,0214 石油製品,30.9,
指数,1971年2月,全国,0215 他の工業製品,74.1,
指数,1971年2月,全国,0218 電気・都市ガス・水道,39.2,
指数,1971年2月,全国,0219 出版物,21.4,
指数,1971年2月,全国,0220 サービス,25.6,
指数,1971年2月,全国,0242 持家の帰属家賃を除くサービス,24.3,
指数,1971年2月,全国,0221 公共サービス,26.7,
指数,1971年2月,全国,0222 公営・都市再生機構・公社家賃,21.2,
指数,1971年2月,全国,0223 家事関連サービス,38.8,
指数,1971年2月,全国,0224 医療・福祉関連サービス,37.9,
指数,1971年2月,全国,0225 運輸・通信関連サービス,36.8,
指数,1971年2月,全国,0226 教育関連サービス,46.1,
指数,1971年2月,全国,0227 教養娯楽関連サービス,33.8,
指数,1971年2月,全国,0228 一般サービス,25.2,
指数,1971年2月,全国,0229 外食,24.3,
指数,1971年2月,全国,0230 民営家賃,34.7,
指数,1971年2月,全国,0231 持家の帰属家賃,29.4,
指数,1971年2月,全国,0232 他のサービス,20.1,
指数,1971年2月,全国,0233 家事関連サービス,21.2,
指数,1971年2月,全国,0235 教育関連サービス,11.1,
指数,1971年2月,全国,0236 通信・教養娯楽関連サービス,36.5,
指数,1971年2月,全国,0237 耐久消費財,176.8,
指数,1971年2月,全国,0240 公共料金,32.9,
前月比・前年比・前年度比,1971年2月,全国,0001 総合,0.1,%
前月比・前年比・前年度比,1971年2月,全国,0002 食料,0.1,%
前月比・前年比・前年度比,1971年2月,全国,0003 穀類,0.1,%
前月比・前年比・前年度比,1971年2月,全国,0004 米類,0.0,%
前月比・前年比・前年度比,1971年2月,全国,0005 パン,0.2,%
前月比・前年比・前年度比,1971年2月,全国,1021 食パン,0.1,%
前月比・前年比・前年度比,1971年2月,全国,1022 あんパン,0.4,%
前月比・前年比・前年度比,1971年2月,全国,0006 麺類,0.6,%
前月比・前年比・前年度比,1971年2月,全国,1041 そうめん,0.7,%
前月比・前年比・前年度比,1971年2月,全国,1051 カップ麺,0.4,%
前月比・前年比・前年度比,1971年2月,全国,0007 他の穀類,0.5,%
前月比・前年比・前年度比,1971年2月,全国,1071 小麦粉,0.7,%
前月比・前年比・前年度比,1971年2月,全国,0008 魚介類,-1.5,%
前月比・前年比・前年度比,1971年2月,全国,0009 生鮮魚介,-2.7,%
前月比・前年比・前年度比,1971年2月,全国,1101 まぐろ,-4.8,%
前月比・前年比・前年度比,1971年2月,全国,1102 あじ,-4.4,%
前月比・前年比・前年度比,1971年2月,全国,1103 いわし,14.4,%
前月比・前年比・前年度比,1971年2月,全国,1104 かつお,29.2,%
前月比・前年比・前年度比,1971年2月,全国,1106 さけ,2.4,%
前月比・前年比・前年度比,1971年2月,全国,1107 さば,-10.8,%
前月比・前年比・前年度比,1971年2月,全国,1108 さんま,8.4,%
前月比・前年比・前年度比,1971年2月,全国,1110 たい,-1.9,%
前月比・前年比・前年度比,1971年2月,全国,1111 ぶり,-6.0,%
前月比・前年比・前年度比,1971年2月,全国,1112 いか,5.1,%
前月比・前年比・前年度比,1971年2月,全国,1113 たこ,-0.8,%
前月比・前年比・前年度比,1971年2月,全国,1131 あさり,3.7,%
前月比・前年比・前年度比,1971年2月,全国,1132 かき（貝）,-12.5,%
前月比・前年比・前年度比,1971年2月,全国,0010 塩干魚介,0.0,%
前月比・前年比・前年度比,1971年2月,全国,1141 塩さけ,1.2,%
前月比・前年比・前年度比,1971年2月,全国,1142 たらこ,-5.9,%
前月比・前年比・前年度比,1971年2月,全国,1143 しらす干し,3.7,%
前月比・前年比・前年度比,1971年2月,全国,1146 煮干し,1.8,%
前月比・前年比・前年度比,1971年2月,全国,0011 魚肉練製品,0.1,%
前月比・前年比・前年度比,1971年2月,全国,1151 揚げかまぼこ,0.7,%
前月比・前年比・前年度比,1971年2月,全国,1152 ちくわ,0.2,%
前月比・前年比・前年度比,1971年2月,全国,1153 かまぼこ,-0.3,%
前月比・前年比・前年度比,1971年2月,全国,0012 他の魚介加工品,1.7,%
前月比・前年比・前年度比,1971年2月,全国,1161 かつお節,1.2,%
前月比・前年比・前年度比,1971年2月,全国,0013 肉類,-0.7,%
前月比・前年比・前年度比,1971年2月,全国,0014 生鮮肉,-0.8,%
前月比・前年比・前年度比,1971年2月,全国,1201 牛肉（国産品）,0.3,%
前月比・前年比・前年度比,1971年2月,全国,1211 豚肉（国産品）,-2.2,%
前月比・前年比・前年度比,1971年2月,全国,1221 鶏肉,0.3,%
前月比・前年比・前年度比,1971年2月,全国,0015 加工肉,0.0,%
前月比・前年比・前年度比,1971年2月,全国,1261 ソーセージ,-0.1,%
前月比・前年比・前年度比,1971年2月,全国,0016 乳卵類,-1.1,%
前月比・前年比・前年度比,1971年2月,全国,0017 牛乳・乳製品,1.0,%
前月比・前年比・前年度比,1971年2月,全国,0018 牛乳,0.0,%
前月比・前年比・前年度比,1971年2月,全国,0019 乳製品,5.0,%
前月比・前年比・前年度比,1971年2月,全国,1311 粉ミルク,10.4,%
前月比・前年比・前年度比,1971年2月,全国,1321 バター,0.0,%
前月比・前年比・前年度比,1971年2月,全国,1331 チーズ（国産品）,0.0,%
前月比・前年比・前年度比,1971年2月,全国,0020 卵,-4.0,%
前月比・前年比・前年度比,1971年2月,全国,1341 鶏卵,-4.0,%
前月比・前年比・前年度比,1971年2月,全国,0021 野菜・海藻,0.4,%
前月比・前年比・前年度比,1971年2月,全国,0022 生鮮野菜,-0.3,%
前月比・前年比・前年度比,1971年2月,全国,1401 キャベツ,-8.8,%
前月比・前年比・前年度比,1971年2月,全国,1402 ほうれんそう,-22.3,%
前月比・前年比・前年度比,1971年2月,全国,1403 はくさい,0.7,%
前月比・前年比・前年度比,1971年2月,全国,1405 ねぎ,-9.8,%
前月比・前年比・前年度比,1971年2月,全国,1406 レタス,-13.9,%
前月比・前年比・前年度比,1971年2月,全国,1411 さつまいも,0.0,%
前月比・前年比・前年度比,1971年2月,全国,1412 じゃがいも,-0.6,%
前月比・前年比・前年度比,1971年2月,全国,1413 さといも,1.7,%
前月比・前年比・前年度比,1971年2月,全国,1414 だいこん,-9.5,%
前月比・前年比・前年度比,1971年2月,全国,1415 にんじん,-4.4,%
前月比・前年比・前年度比,1971年2月,全国,1416 ごぼう,-1.1,%
前月比・前年比・前年度比,1971年2月,全国,1417 たまねぎ,6.9,%
前月比・前年比・前年度比,1971年2月,全国,1419 れんこん,-2.0,%
前月比・前年比・前年度比,1971年2月,全国,1433 かぼちゃ,18.1,%
前月比・前年比・前年度比,1971年2月,全国,1434 きゅうり,13.6,%
